PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Queen_Bishop,puzzle_ref
o16eP,7k/1p6/6Q1/P1pq3p/3b4/7P/8/1R4K1 w - - 1 34,g1f1 d5f3 f1e1 d4c3,1816,309,22,8,endgame mate mateIn2 short,https://lichess.org/SJb4ePNH#67,,True,https://lichess.org/training/o16eP
o2vYC,1r6/5kb1/1p1Q4/1Pp3p1/2P1B3/3P2Pq/4P3/6K1 w - - 1 43,d6b8 g7d4 e2e3 d4e3,1026,83,95,2379,endgame mate mateIn2 short,https://lichess.org/lyUOhpxZ#85,,True,https://lichess.org/training/o2vYC
o7Pjw,8/2P2kpp/1q6/p7/2Rb1P2/1P2P3/6PP/1K6 w - - 0 29,c7c8q b6b3 b1c1 d4e3,1736,84,76,53,endgame mate mateIn2 short,https://lichess.org/ObA0gkf7#57,,True,https://lichess.org/training/o7Pjw
o81f1,2r1k1nr/pp3ppp/2n1p1b1/1BbpN3/6P1/1P2PP1q/PBP4P/RN1Q2KR w k - 0 13,e5g6 c5e3,899,77,72,131,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Sp1aX4os#25,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/o81f1
o9B39,1r6/2Q5/7k/p1p1p1bq/1p2P3/2PP3P/PP6/R6K w - - 2 33,c7b8 h5h3 h1g1 g5e3,1931,76,92,1134,endgame mate mateIn2 short,https://lichess.org/A1RYAY45#65,,True,https://lichess.org/training/o9B39
oIFua,4r3/Q1p3kp/1N1b2p1/8/2B1PP2/1P3bPq/P1PP3P/R5K1 w - - 0 21,c4f1 d6c5 d2d4 c5d4,1161,77,91,1051,master mate mateIn2 middlegame short,https://lichess.org/Z5ht3MVM#41,,True,https://lichess.org/training/oIFua
oIXEI,r4rk1/2p2ppp/p1np4/1p2p3/4P1nb/1BPP1NNq/PP3P2/R1BQR1K1 w - - 4 15,g3f5 h4f2,1143,77,92,142,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qPp5UKyh#29,Ruy_Lopez Ruy_Lopez_Morphy_Defense,True,https://lichess.org/training/oIXEI
oIsj9,5b1k/Q6p/1p2P2r/5p2/8/1B2q2P/PP4P1/3R2K1 w - - 0 28,g1h1 h6h3 g2h3 e3h3 h1g1 f8c5 d1d4 c5d4,1642,74,89,765,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/Ht6PMG4L#55,,True,https://lichess.org/training/oIsj9
oM1LK,8/5p2/2r1p2p/4B2q/Q7/p5P1/2k3K1/8 b - - 13 56,c2b1 a4b3 b1c1 e5f4,2125,79,79,264,endgame mate mateIn2 short,https://lichess.org/xGCUDAFP/black#112,,True,https://lichess.org/training/oM1LK
oOe1G,2Q1kr2/8/1p6/pb1Pp3/1q2Pp2/5P2/PP3BP1/1K6 b - - 0 32,e8e7 c8e6 e7d8 f2b6,2181,77,93,3294,endgame mate mateIn2 short,https://lichess.org/ZcxN9nB7/black#64,,True,https://lichess.org/training/oOe1G
oPk2Q,5k2/6pp/p7/1pB2p2/4pP2/1QPr3q/PP5P/4b2K b - - 3 31,f8e8 b3e6 e8d8 c5b6,1933,143,41,42,endgame mate mateIn2 short,https://lichess.org/P4jjPMeM/black#62,,True,https://lichess.org/training/oPk2Q
oPtvd,5rk1/ppN2ppp/2n5/3p2q1/3p2b1/6B1/PPP1KP1P/R2QR3 w - - 6 18,f2f3 g5e3 e2f1 g4h3,1797,91,77,24,mate mateIn2 middlegame short,https://lichess.org/EBoMYjkr#35,Four_Knights_Game Four_Knights_Game_Scotch_Variation,True,https://lichess.org/training/oPtvd
oTxHG,6k1/5p2/7p/2Q1P3/4b3/4N1qP/8/6K1 w - - 1 40,g1f1 e4d3,1553,82,80,937,endgame mate mateIn1 oneMove,https://lichess.org/O4jpPn4R#79,,True,https://lichess.org/training/oTxHG
oZJ9f,7k/p4p1p/2b1p2Q/P3qp2/8/2p3P1/2PK2P1/R7 w - - 0 38,d2d3 c6b5,1887,86,88,1159,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/IInkE6vp#75,,True,https://lichess.org/training/oZJ9f
oZxO6,4k3/8/pQ6/1p2P1p1/1b1Pq3/1P2P3/P1K5/5RR1 w - - 1 39,c2d1 e4d3 d1c1 b4a3,1889,119,66,68,endgame mate mateIn2 short,https://lichess.org/LSSoo5BF#77,,True,https://lichess.org/training/oZxO6
ogjxm,r2q1kBr/ppp3Rp/2np4/4p3/4P2b/3P1b2/PPPQ1P2/RNB1K3 b Q - 0 12,f8g7 d2h6 g7g8 h6e6 g8f8 c1h6,1418,77,92,3917,long mate mateIn3 middlegame sacrifice,https://lichess.org/UGzlZ7JT/black#24,Italian_Game Italian_Game_Paris_Defense,True,https://lichess.org/training/ogjxm
olpiz,r3k2r/pp5p/2nQ4/4p3/K1B1P1b1/4q3/PPP3PP/R4R2 b kq - 4 20,a8d8 c4f7,1384,75,90,292,mate mateIn1 middlegame oneMove,https://lichess.org/PcQzNWGo/black#40,,True,https://lichess.org/training/olpiz
omtK6,6k1/pb6/1p1p1r2/3P2Bp/3Q2q1/6P1/PP6/2R3K1 w - - 0 29,d4f6 g4g3 g1f1 b7a6 c1c4 a6c4,1417,168,84,17,endgame exposedKing long mate mateIn3,https://lichess.org/vDrsdWJ9#57,,True,https://lichess.org/training/omtK6
p4EiN,r1b1k1nr/ppp3pp/8/3B4/8/2N1qnP1/PPP1N2P/R2QK2R w KQkq - 4 14,e1f1 c8h3,1363,89,81,74,mate mateIn1 oneMove opening,https://lichess.org/DYviRsWV#27,Italian_Game Italian_Game_Rousseau_Gambit,True,https://lichess.org/training/p4EiN
p7frG,7r/p2k1pp1/Q7/2p4p/2N1p3/1P2P1q1/PB3KPb/2R5 w - - 1 27,f2e2 g3g2 e2d1 g2f1 d1d2 f1d3 d2e1 h2g3,1796,74,92,1666,mate mateIn4 middlegame veryLong,https://lichess.org/TguaRgf8#53,,True,https://lichess.org/training/p7frG
p9mEh,Q7/5p1k/4bB1p/4P3/5q2/8/5KP1/8 w - - 13 53,f2e1 f4e3 e1d1 e6b3,1795,74,94,12556,endgame mate mateIn2 short,https://lichess.org/ApRHOY3N#105,,True,https://lichess.org/training/p9mEh
pCNN3,8/pp2k3/4Q3/3P2b1/2P2p2/3BpPp1/Pq6/5K2 b - - 3 44,e7d8 e6d6 d8e8 d3g6,1960,78,86,247,endgame mate mateIn2 short,https://lichess.org/FaN10nCC/black#88,,True,https://lichess.org/training/pCNN3
pF7A3,5Nk1/pp5p/4Q1p1/P5B1/3p4/1P1P4/2P2qnb/7K b - - 1 42,g8f8 g5h6,1656,81,89,774,endgame master mate mateIn1 oneMove,https://lichess.org/HdacfoFR/black#84,,True,https://lichess.org/training/pF7A3
pOuMx,r2qr1k1/ppp1bp2/5npQ/5bN1/2BP3B/P1N5/1P3PPP/n3R1K1 b - - 1 18,e7f8 c4f7,1371,96,88,57,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/RVpEeqwq/black#36,French_Defense French_Defense_Exchange_Variation,True,https://lichess.org/training/pOuMx
pQLtm,r1q2kr1/pp2p3/2b2RQ1/5P2/4P3/P3B2P/2P5/5RK1 b - - 0 24,e7f6 e3c5,1510,79,78,687,mate mateIn1 middlegame oneMove,https://lichess.org/EYtgofeh/black#48,,True,https://lichess.org/training/pQLtm
pRxjz,4k3/1Q5b/4Np1p/1p1P2p1/6P1/1P2PPq1/8/6K1 w - - 6 49,g1f1 h7d3,1112,75,93,1116,endgame master mate mateIn1 oneMove,https://lichess.org/Wd4Xrns3#97,,True,https://lichess.org/training/pRxjz
pVQH4,5Q2/ppk2pp1/2p4p/8/3rP3/2NBqP2/bPP3PP/3K3R w - - 9 20,h1e1 d4d3 c2d3 a2b3,1926,77,85,180,mate mateIn2 middlegame sacrifice short,https://lichess.org/2oAkDqCP#39,,True,https://lichess.org/training/pVQH4
