PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,RookMoves,puzzle_ref
3CFvB,8/1R4R1/5pkp/8/8/5P1P/r4r2/7K b - - 0 43,g6h5 b7b5 f6f5 b5f5 h5h4 g7g4 h4h3 f5h5,1082,79,94,3247,endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/0VXkhLr6/black#86,,True,2,https://lichess.org/training/3CFvB
E69pX,2r3k1/1R5p/b3p1p1/8/3p1r2/8/5PBP/R5K1 w - - 0 30,a1a6 c8c1 g2f1 f4g4 g1h1 c1f1,1084,81,88,431,deflection endgame long mate mateIn3,https://lichess.org/SE1wJYw4#59,,True,2,https://lichess.org/training/E69pX
3TFFx,2b2rk1/p3pp2/6Q1/2pPp3/2P4P/8/qr1N1RP1/5RK1 b - - 0 26,f7g6 f2f8 g8h7 f1f7 h7h6 f8h8,1084,77,90,642,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/RL60XQel/black#52,,True,2,https://lichess.org/training/3TFFx
9UbMq,R7/1pr3pk/4Q2p/2r2p2/8/4P1P1/7P/6K1 w - - 3 33,h2h4 c5c1 g1h2 c7c2 h2h3 c1h1,1084,155,81,36,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/gfP98dPY#65,,True,2,https://lichess.org/training/9UbMq
U2hmT,3R4/7r/p1r3k1/3p2p1/3B2n1/3P1R2/5P2/6K1 w - - 0 42,d8d5 c6c1 g1g2 h7h2 g2g3 c1g1,1084,79,89,462,endgame long mate mateIn3,https://lichess.org/MnrX7TWy#83,,True,2,https://lichess.org/training/U2hmT
jfdkY,6k1/4Rp2/1R3Pp1/5r1p/7P/3r4/6K1/8 b - - 9 40,d3f3 b6b8 g8h7 e7f7 h7h6 b8h8,1084,78,88,154,deflection endgame long mate mateIn3 rookEndgame,https://lichess.org/QpiJKSHE/black#80,,True,2,https://lichess.org/training/jfdkY
ok1Vi,5k1r/ppQ5/5p2/4bPp1/3rR2p/7P/PPPq1PP1/4R1K1 b - - 0 22,e5c7 e4e8 f8g7 e1e7 g7h6 e8h8,1085,83,94,659,deflection endgame exposedKing fork long mate mateIn3,https://lichess.org/Btmrav7p/black#44,,True,2,https://lichess.org/training/ok1Vi
7DdHM,8/5pp1/1p1k3p/1ppPr3/4r3/PR4P1/1P1R1KP1/8 w - - 6 27,b3b5 e5f5 f2g1 e4e1 g1h2 f5h5,1086,78,94,4018,endgame long mate mateIn3 rookEndgame,https://lichess.org/KYA85P30#53,,True,2,https://lichess.org/training/7DdHM
tCo5S,8/P4p2/5R2/4P3/5P1K/4Bk2/5P2/r5r1 w - - 3 47,h4h5 g1h1 h5g5 a1g1 g5f5 h1h5,1086,79,90,292,endgame long mate mateIn3,https://lichess.org/vxK6GhTI#93,,True,2,https://lichess.org/training/tCo5S
rc8V9,6k1/8/3rp1p1/p1r3P1/P6R/1p1N4/1Pn5/1K5R b - - 3 34,c5g5 h4h8 g8f7 h1h7 f7f6 h8f8,1086,78,89,905,endgame exposedKing long mate mateIn3,https://lichess.org/SeWEhpSo/black#68,,True,2,https://lichess.org/training/rc8V9
