PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref,unique_id
0fNFi,1Q4k1/2p2pb1/r1qp3p/4pPp1/8/1K3NP1/1P3PP1/3R4 b - - 5 30,g8h7 f3g5 h6g5 d1h1 g7h6 h1h6 h7g7 b8h8,1554,76,87,502,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/rzDKA6cY/black#60,,True,https://lichess.org/training/0fNFi,14294
0g4VT,7k/6p1/P2p3p/1BpPp3/7q/R2Q4/5rKP/1R6 w - - 1 45,g2g1 h4h2,850,78,97,221,endgame master mate mateIn1 oneMove,https://lichess.org/WGFDhNfQ#89,,True,https://lichess.org/training/0g4VT,14552
0gIvv,r1b5/5kp1/p3qbr1/1p1R4/4p3/1Q6/P4PPP/3R2K1 b - - 1 25,e6g4 d5d7 f7e8 b3f7,1645,77,87,1126,doubleCheck mate mateIn2 middlegame short,https://lichess.org/xm12aAnV/black#50,,True,https://lichess.org/training/0gIvv,14653
0gcyQ,7k/pQp3p1/3p4/4nR2/2P4q/2P2p2/PKP1rP2/8 b - - 0 26,h4f2 b7c8 h8h7 f5h5 h7g6 c8f5,2235,77,93,3249,endgame long mate mateIn3,https://lichess.org/h8SEnpys/black#52,,True,https://lichess.org/training/0gcyQ,14771
0hpUB,6k1/p1q3r1/2p4Q/4bp1p/P7/2B2bP1/5P1P/4R1K1 b - - 2 27,e5c3 e1e8 g8f7 h6e6,967,76,89,449,endgame mate mateIn2 short,https://lichess.org/mDMUtdJ6/black#54,,True,https://lichess.org/training/0hpUB,15169
0husL,3q3r/3r1kb1/1pbQpp2/2p4p/2P4P/4BN1R/PP3PP1/2KR4 w - - 1 29,d6c6 d7d1 c1c2 d8d3,1161,130,33,12,mate mateIn2 middlegame queensideAttack short,https://lichess.org/zMs1mqWv#57,,True,https://lichess.org/training/0husL,15195
0i2r4,8/p4pk1/1q2p3/4PPB1/4Q1P1/P5r1/1P5K/R5b1 w - - 4 34,a1g1 b6g1,987,82,100,62,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/5S9MwkWO#67,,True,https://lichess.org/training/0i2r4,15236
0i5lb,1k6/ppp4p/3p4/7q/8/2QR2P1/PPP1r2P/6K1 w - - 0 24,d3d2 h5h2 g1f1 h2g2,1450,75,98,8306,endgame mate mateIn2 short,https://lichess.org/1jaoHbIE#47,,True,https://lichess.org/training/0i5lb,15251
0j1Yt,5r1k/6pp/2P1Q3/8/3q4/5K1P/6P1/2R4R w - - 6 36,f3e2 f8f2 e2e1 d4d2,1512,75,96,14160,endgame mate mateIn2 short,https://lichess.org/6LLMpJIB#71,,True,https://lichess.org/training/0j1Yt,15596
0j4B8,7R/8/2p3pk/p1Pq2rp/P4Q2/2P1r2P/4p1P1/4R1K1 b - - 7 40,h6g7 f4f8,1150,77,83,498,endgame master mate mateIn1 oneMove,https://lichess.org/Ja0VBgxv/black#80,,True,https://lichess.org/training/0j4B8,15609
0jZ9f,1k6/1pp4p/8/1N1P4/P1P1r1p1/2KQ4/1r3q2/R7 w - - 0 39,d3e4 f2d2,1161,75,93,489,endgame mate mateIn1 oneMove,https://lichess.org/WKDtkMkM#77,,True,https://lichess.org/training/0jZ9f,15769
0jz99,1rb1r1kR/4ppB1/p7/2p1q3/4n1P1/2N2P2/PP1Q4/2KR4 b - - 1 24,g8g7 d2h6,1151,77,84,356,mate mateIn1 middlegame oneMove,https://lichess.org/9n5ZGTnm/black#48,,True,https://lichess.org/training/0jz99,15907
0kHvZ,3q4/p2r1rbk/6R1/1p2p3/2p1P3/2P1BP2/PP3QR1/2K5 w - - 2 31,f2g3 d7d1 c1c2 d8d3,1100,75,95,1195,mate mateIn2 middlegame queensideAttack short,https://lichess.org/h3u56uVS#61,,True,https://lichess.org/training/0kHvZ,16010
0kobF,r6k/2pQR3/2p3rp/p2p4/2qN4/7R/2P2PPP/6K1 b - - 3 33,c4d4 e7h7 h8g8 d7f7,1232,76,93,414,endgame mate mateIn2 short,https://lichess.org/7cO4qUOx/black#66,,True,https://lichess.org/training/0kobF,16216
0nUNR,2k5/1b1r1p2/pR2p3/2p3q1/6p1/1Q2P3/P5Nr/5KR1 b - - 3 32,b7f3 b6b8 c8c7 b3b6,1463,76,83,240,mate mateIn2 middlegame short,https://lichess.org/SUcvwcMJ/black#64,,True,https://lichess.org/training/0nUNR,17121
0opNW,r3r2Q/ppp2kp1/8/5R2/5b2/1q2P2P/5PK1/8 b - - 1 36,f7g6 h8h5,964,75,97,352,endgame mate mateIn1 oneMove,https://lichess.org/pUFhO9mH/black#72,,True,https://lichess.org/training/0opNW,17544
0pZ1A,8/p2Q1k2/4p3/6R1/8/P7/7K/1rq5 b - - 13 65,f7f6 d7g7,830,79,95,550,endgame mate mateIn1 oneMove,https://lichess.org/1NRp0Uq3/black#130,,True,https://lichess.org/training/0pZ1A,17777
0pZVa,1r5k/2Q2Rbp/2p3p1/pq6/4P3/P6P/6P1/7K b - - 2 27,g7e5 f7h7 h8g8 c7f7,1458,76,85,419,endgame mate mateIn2 short,https://lichess.org/jVNAX26H/black#54,,True,https://lichess.org/training/0pZVa,17779
0rVyU,2k1r3/pp6/2pQ4/6q1/6P1/8/PPP2RP1/6K1 w - - 3 30,f2d2 e8e1 g1f2 g5e3,1712,79,96,22706,endgame mate mateIn2 short,https://lichess.org/rym9Zo7e#59,,True,https://lichess.org/training/0rVyU,18482
0ssXG,4nRk1/pp1bB1b1/3Pp1p1/8/4r2Q/8/P3q1PP/5R1K b - - 1 28,g7f8 f1f8 g8g7 h4h8,1281,82,87,86,master mate mateIn2 middlegame short,https://lichess.org/Q5T5xPI2/black#56,,True,https://lichess.org/training/0ssXG,18942
0swcO,rn2R3/1p3kpp/p2p1q2/3P2N1/8/3b4/P3QPPP/6K1 b - - 5 21,f6g5 e2e6,1274,76,97,3260,endgame mate mateIn1 oneMove,https://lichess.org/Ybrox3Pz/black#42,,True,https://lichess.org/training/0swcO,18963
0twQ2,4r1k1/1p3R2/pq5p/4pQ2/1Pp5/P7/2P3PP/7K b - - 2 32,b6e6 f5h7,993,76,100,93,endgame mate mateIn1 oneMove,https://lichess.org/HGF90i0S/black#64,,True,https://lichess.org/training/0twQ2,19285
0v31y,7k/6p1/p6p/1rP5/K3Q3/P1R2P1P/q7/8 w - - 3 36,c3d3 a2c2 d3b3 c2b3,1324,75,96,9710,endgame mate mateIn2 short,https://lichess.org/oq3UUQ8a#71,,True,https://lichess.org/training/0v31y,19661
0vJzf,1k5r/2pp1p2/1p2b3/1R2Q3/2P5/3K4/q4rP1/8 b - - 1 34,f2g2 b5b6 b8a8 e5h8 g2g8 h8g8 a8a7 g8b8,1963,95,100,25,endgame mate mateIn4 pin veryLong,https://lichess.org/XGF864HM/black#68,,True,https://lichess.org/training/0vJzf,19754
0w3Ne,5qk1/1RP4p/3p2p1/3P4/4Q3/6P1/r5rP/3R2K1 w - - 5 36,g1h1 g2h2 h1g1 f8f2,1229,77,94,2839,endgame mate mateIn2 short,https://lichess.org/1EZ8kT1c#71,,True,https://lichess.org/training/0w3Ne,20020
0wO8y,r1q1k2r/ppp1pp2/6p1/3P4/3bP3/1P3PP1/P1P2Rb1/R2Q1NK1 w kq - 0 18,d1d4 h8h1 g1g2 c8h3,1300,76,93,1186,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/oPFfcIXY#35,Indian_Defense Indian_Defense_Tartakower_Attack,True,https://lichess.org/training/0wO8y,20134
0wvcO,4b3/pp2k3/3Rp2Q/2p1P3/2P3qP/P7/KP2Br2/8 b - - 3 35,f2e2 h6f6,1669,76,95,1002,endgame master mate mateIn1 oneMove,https://lichess.org/dmYaTVQz/black#70,,True,https://lichess.org/training/0wvcO,20348
0xciU,6k1/p4pp1/4p3/3pPbPp/3P1P2/4RNKP/3N1Q2/q6r w - - 3 31,h3h4 h1h3 g3g2 a1h1,1269,195,85,15,mate mateIn2 middlegame short,https://lichess.org/6LVeDQhv#61,,True,https://lichess.org/training/0xciU,20600
0xqiR,5k1Q/6r1/3pR3/2pP4/1pP2pq1/1P6/5P2/5K2 b - - 4 40,f8f7 h8e8,869,75,89,335,endgame mate mateIn1 oneMove,https://lichess.org/DZB12vmL/black#80,,True,https://lichess.org/training/0xqiR,20678
