PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
It2fn,5rk1/ppp4p/6B1/P2P1K2/2q2b2/8/PB4Q1/6RR w - - 5 32,f5e6 c4a6 d5d6 a6d6,1743,75,82,105,mate mateIn2 middlegame short,https://lichess.org/byq2xISZ#63,,True,https://lichess.org/training/It2fn
IvHHy,2r1qbk1/2R4R/p2npQp1/1p6/8/7P/P4PP1/6K1 b - - 2 31,c8c7 h7h8,1438,433,33,8,endgame mate mateIn1 oneMove,https://lichess.org/fWUs3k21/black#62,,True,https://lichess.org/training/IvHHy
IwAyl,5r1k/6pp/PP2r3/8/3Qp3/7q/R4P2/4R1K1 w - - 2 37,e1e3 e6g6 e3g3 g6g3 f2g3 f8f1,1912,74,95,1333,endgame long mate mateIn3,https://lichess.org/R5AMirNU#73,,True,https://lichess.org/training/IwAyl
IwV1d,6k1/N4p2/7r/3Q4/4p1p1/4Pq2/P4P1K/7R w - - 0 42,h2g1 h6h1,1135,106,81,58,endgame mate mateIn1 oneMove,https://lichess.org/sYhpYoL7#83,,True,https://lichess.org/training/IwV1d
IxCKM,4rk2/pr1p1p2/1pn3pR/4P1Q1/3q1P2/8/P5PP/1R5K b - - 2 35,d4e4 h6h8 f8g7 g5f6,825,76,100,745,mate mateIn2 middlegame short,https://lichess.org/8BnGMnx8/black#70,,True,https://lichess.org/training/IxCKM
J11xo,1nk3r1/ppp2p2/3p4/1P2p3/P1B1P1nb/B1PPq3/3N2R1/R2Q1K2 w - - 3 24,d1e2 g4h2 g2h2 g8g1,1323,77,96,17959,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/kguRvTFo#47,,True,https://lichess.org/training/J11xo
J3c2o,6k1/pbq1r2n/1p5Q/2p1p3/2P1P1P1/1P3R1P/P7/5RK1 b - - 0 29,b7e4 f3f8 h7f8 f1f8,1699,79,69,48,mate mateIn2 middlegame sacrifice short,https://lichess.org/jIfJUd02/black#58,,True,https://lichess.org/training/J3c2o
J494t,6k1/1p5p/2p3p1/p5Q1/6RP/1q3r2/6RK/8 w - - 0 39,h4h5 f3h3 h2g1 b3d1 g1f2 h3f3,1690,74,97,12619,endgame exposedKing long mate mateIn3,https://lichess.org/ejLjxcUs#77,,True,https://lichess.org/training/J494t
J4M9A,6k1/5p2/2p2Ppp/2b1P3/2p5/5QPq/r4B1P/5RK1 w - - 0 36,f3c6 c5f2 f1f2 a2a1 f2f1 a1f1,1237,75,92,969,endgame long mate mateIn3,https://lichess.org/FOCympRL#71,,True,https://lichess.org/training/J4M9A
J7MrY,5r1k/2p3pp/1p1p4/4p2q/PP6/2P2P1K/5PN1/R2R1Q2 w - - 1 27,h3g3 f8f3,1741,105,82,75,endgame mate mateIn1 oneMove,https://lichess.org/gKfUeG0b#53,,True,https://lichess.org/training/J7MrY
