PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
6rypX,r2r3k/p5B1/bp4R1/4P1N1/2nb4/8/P4P1P/3K4 b - - 5 31,h8g8 g7h6 g8h8 g5f7 h8h7 g6g7,1989,144,71,20,discoveredAttack exposedKing fork long mate mateIn3 middlegame,https://lichess.org/OBNh0bFp/black#62,,True,https://lichess.org/training/6rypX
6wCfV,5rk1/1pRR1N2/4p1pp/p3P3/1n3P2/6P1/1r5P/7K b - - 0 34,b4d5 f7h6 g8h8 d7h7,1127,74,100,189,endgame mate mateIn2 short,https://lichess.org/xjtug07X/black#68,,True,https://lichess.org/training/6wCfV
6y848,6k1/1p3R2/2b2Kp1/1r4N1/4BP2/2P5/P7/3r4 b - - 2 37,c6e4 f7g7 g8f8 g5e6 f8e8 g7e7,2028,78,89,100,endgame exposedKing long mate mateIn3,https://lichess.org/4hs0WqQi/black#74,,True,https://lichess.org/training/6y848
7A6zU,4k1r1/R7/p1p1N3/2B1p3/1r6/1P6/P1b2K1p/8 b - - 1 44,b4b8 a7e7,1473,76,71,215,endgame mate mateIn1 oneMove,https://lichess.org/6yV8AbOU/black#88,,True,https://lichess.org/training/7A6zU
7Cgua,8/1p6/1k2N1p1/2PR4/1K5p/1P3Pr1/8/2r5 b - - 0 58,b6c6 d5d6,1067,75,100,171,endgame mate mateIn1 oneMove,https://lichess.org/q2R6C8Xx/black#116,,True,https://lichess.org/training/7Cgua
7K0KJ,4r3/6k1/R4nb1/B4K2/1P6/4PPP1/7P/8 w - - 1 43,f5g5 e8e5 g5f4 e5f5,1373,75,100,254,endgame mate mateIn2 short,https://lichess.org/DS1aeh2B#85,,True,https://lichess.org/training/7K0KJ
7OSe6,6k1/5p2/B3p2p/6p1/2n5/1pn3BP/3r1PP1/2K1R3 w - - 4 40,a6c4 d2c2,1497,114,92,42,endgame mate mateIn1 oneMove,https://lichess.org/wh78u8SU#79,,True,https://lichess.org/training/7OSe6
7iVOc,6k1/7R/p4K2/1p3PN1/2pr2P1/8/PPn5/3q4 b - - 3 43,d4g4 h7g7 g8f8 g5e6 f8e8 g7e7,1868,75,99,1081,endgame exposedKing long mate mateIn3,https://lichess.org/zvbij5aG/black#86,,True,https://lichess.org/training/7iVOc
7meDF,1k6/1b3R2/1N1N3p/p5p1/6P1/7K/Pn4r1/8 b - - 5 52,g2c2 f7b7,1319,75,99,2175,endgame mate mateIn1 oneMove,https://lichess.org/kcyEUstu/black#104,,True,https://lichess.org/training/7meDF
7ni7u,8/5Rp1/4r2p/p3N1k1/1b2K3/6PP/8/8 b - - 0 47,b4c3 f7f5,1896,78,90,812,endgame mate mateIn1 oneMove,https://lichess.org/qLBaoh0E/black#94,,True,https://lichess.org/training/7ni7u
